timestamp,run_id,architecture,partitions,target_rate,replication,synthetic_cost_us,persistence,events,seconds,throughput,mean_us,p50_us,p95_us,p99_us,max_us,cpu_avg,cpu_peak,mem_avg_mb,mem_peak_mb,gc_gen0,gc_gen1,gc_gen2,allocated_mb,windows,digest_hash,warmup_events,measured_events,windows_written,windows_dropped,client_config,dotnet_env,incomplete_records
2026-09-25T17:54:44.3327012+00:00,dd06be92-8a54-4ebc-a46b-ed80bccde578,kafka-direct,4,100000,1,0,1,10000000,89.968,100004.2,3155.7,3109,5319,5783,88255,24.4,84.4,100.3,102.6,958,10,1,8580,101000,53B11B22EC958D40,1002818,8997182,101000,0,auto.commit.interval.ms=5000;auto.offset.reset=earliest;enable.auto.commit=True;enable.auto.offset.store=False,DOTNET_RUNNING_IN_CONTAINER=true;DOTNET_VERSION=10.0.12,0
2026-09-25T17:56:44.8287095+00:00,bc1bae65-4c70-4605-87dc-30e4ce2c1f7e,kafka-channels,4,100000,1,0,1,10000000,89.970,100003.8,3174.7,3151,5363,5867,45951,52.2,110.7,100.4,103.1,958,10,1,8579,101000,53B11B22EC958D40,1002627,8997373,101000,0,auto.commit.interval.ms=5000;auto.offset.reset=earliest;enable.auto.commit=True;enable.auto.offset.store=False,DOTNET_RUNNING_IN_CONTAINER=true;DOTNET_VERSION=10.0.12,0
2026-09-25T17:58:44.9393811+00:00,43d5b2da-9783-473e-9957-222d1d829613,kafka-direct,4,100000,2,0,1,10000000,89.960,100004.5,3182.9,3171,5383,5959,24191,24.8,94.1,102.4,106.5,958,10,1,8582,101000,53B11B22EC958D40,1003589,8996411,101000,0,auto.commit.interval.ms=5000;auto.offset.reset=earliest;enable.auto.commit=True;enable.auto.offset.store=False,DOTNET_RUNNING_IN_CONTAINER=true;DOTNET_VERSION=10.0.12,0
2026-09-25T18:00:44.5463541+00:00,5dd14a9a-86db-40e0-bcd6-526ed7d3aa6b,kafka-channels,4,100000,2,0,1,10000000,89.969,100002.8,3192.7,3179,5387,5895,39487,51.4,91.2,99.9,101.7,959,10,1,8580,101000,53B11B22EC958D40,1002888,8997112,101000,0,auto.commit.interval.ms=5000;auto.offset.reset=earliest;enable.auto.commit=True;enable.auto.offset.store=False,DOTNET_RUNNING_IN_CONTAINER=true;DOTNET_VERSION=10.0.12,0
2026-09-25T18:02:44.0056565+00:00,b0a37e5d-aa3b-4b4e-9c85-6394a9303269,kafka-direct,4,100000,3,0,1,10000000,89.971,100003.5,3102.0,3089,5303,5759,41663,23.7,85.6,102.3,107.0,958,10,1,8579,101000,53B11B22EC958D40,1002575,8997425,101000,0,auto.commit.interval.ms=5000;auto.offset.reset=earliest;enable.auto.commit=True;enable.auto.offset.store=False,DOTNET_RUNNING_IN_CONTAINER=true;DOTNET_VERSION=10.0.12,0
2026-09-25T18:04:43.4769568+00:00,7b94b50a-5eec-4053-bda8-22eab5aaee05,kafka-channels,4,100000,3,0,1,10000000,89.974,100002.7,3151.2,3127,5343,5907,33407,54.5,95.5,100.7,102.9,958,10,1,8580,101000,53B11B22EC958D40,1002358,8997642,101000,0,auto.commit.interval.ms=5000;auto.offset.reset=earliest;enable.auto.commit=True;enable.auto.offset.store=False,DOTNET_RUNNING_IN_CONTAINER=true;DOTNET_VERSION=10.0.12,0
2026-09-25T18:06:43.1554425+00:00,4ee29c70-2ca9-46e8-a92d-636ec9e41115,kafka-direct,4,100000,4,0,1,10000000,89.972,100002.7,3140.0,3125,5335,5843,41823,24.3,78.8,98.9,102.3,958,10,1,8581,101000,53B11B22EC958D40,1002542,8997458,101000,0,auto.commit.interval.ms=5000;auto.offset.reset=earliest;enable.auto.commit=True;enable.auto.offset.store=False,DOTNET_RUNNING_IN_CONTAINER=true;DOTNET_VERSION=10.0.12,0
2026-09-25T18:08:42.8567833+00:00,f69bfa5e-4bbf-42cb-a0e4-d9bbc2f79753,kafka-channels,4,100000,4,0,1,10000000,89.963,100002.7,3136.5,3125,5335,5779,31279,53.5,110.1,101.1,105.9,959,10,1,8581,101000,53B11B22EC958D40,1003487,8996513,101000,0,auto.commit.interval.ms=5000;auto.offset.reset=earliest;enable.auto.commit=True;enable.auto.offset.store=False,DOTNET_RUNNING_IN_CONTAINER=true;DOTNET_VERSION=10.0.12,0
2026-09-25T18:10:42.4293314+00:00,4be8a247-c434-4d00-b5c5-2aceb862cb80,kafka-direct,4,100000,5,0,1,10000000,89.956,100004.5,3366.9,3103,5319,5915,204543,23.7,73.2,103.3,108.1,958,10,1,8580,101000,53B11B22EC958D40,1003950,8996050,101000,0,auto.commit.interval.ms=5000;auto.offset.reset=earliest;enable.auto.commit=True;enable.auto.offset.store=False,DOTNET_RUNNING_IN_CONTAINER=true;DOTNET_VERSION=10.0.12,0
2026-09-25T18:12:42.5346249+00:00,39882216-afbe-4c2c-9280-ac850246cdf1,kafka-channels,4,100000,5,0,1,10000000,89.970,100004.7,18814.6,3207,5499,926719,1729535,51.4,148.6,105.8,133.8,959,10,1,8582,101000,53B11B22EC958D40,1002559,8997441,101000,0,auto.commit.interval.ms=5000;auto.offset.reset=earliest;enable.auto.commit=True;enable.auto.offset.store=False,DOTNET_RUNNING_IN_CONTAINER=true;DOTNET_VERSION=10.0.12,0
2026-09-25T18:14:42.8267748+00:00,8d697878-eab7-4fd7-8ebc-b7eb3f5aafd2,kafka-direct,4,200000,1,0,1,20000000,89.975,200003.6,3884.3,3167,5311,7207,256383,36.4,95.9,100.9,105.7,1913,10,1,17135,202000,D32C8EDE2EB8DCB8,2004726,17995274,202000,0,auto.commit.interval.ms=5000;auto.offset.reset=earliest;enable.auto.commit=True;enable.auto.offset.store=False,DOTNET_RUNNING_IN_CONTAINER=true;DOTNET_VERSION=10.0.12,0
